id;name;uwi;latitude;longitude;type
1;Secured Program;the program Ghana;16542;34396;WELL
2;Account back-end Plastic;feed Wisconsin Chief;2812;82047;PLANT
3;cross-platform;harness Secured tangible;60382;15321;WELL
4;Representative Rustic stable;Investor;20551;35208;WELL
5;SCSI;Diverse;66045;69872;PLANT
6;Sports wireless auxiliary;generate Orchestrator analyzer;81795;86244;PLANT
7;open-source e-services;Monaco Business-focused RAM;36589;96594;PLANT
8;Austria;Generic;97414;14705;PLANT
9;impactful Pataca turn-key;alarm Bedfordshire Technician;83838;71224;PLANT
10;auxiliary;Stream vertical;47067;39488;WELL
